Buyer ID,Source Buyer ID,Record Type,Phone Number,return_rate,refund_frequency,high_value_return_ratio,version_diversity,category_diversity,avg_transaction_value
1000661,1000661,primary,+1-210-343-3218x1960,-0.6666666666666666,40.0,0.666653846153846,1,1,14.443999999999999
1001914,1001914,primary,538.990.8386,0.0,0.0,0.0,1,1,66.0
1002167,1002167,primary,001-740-326-5423,-0.3333333333333333,25.0,0.28501280956447483,3,3,34.885
1002387,1002387,primary,361-855-9407,0.0,0.0,0.0,1,1,74.17
1002419,1002419,primary,584-695-9310,-0.5,33.33333333333333,0.4844660194174757,2,2,14.75
1003002,1003002,primary,731-564-7525,-0.6666666666666666,40.0,0.6169354838709677,3,2,15.834
1003161,1003161,primary,+1-241-592-8327x64835,0.0,0.0,0.0,1,1,36.67
1003728,1003728,primary,9568413953,0.0,0.0,0.0,2,2,80.91499999999999
1003899,1003899,primary,+1-772-542-3884x9696,-0.18181818181818182,15.384615384615385,0.1855560289731572,7,4,49.01307692307692
1003953,1003953,primary,(387)810-1226,0.0,100.0,0.0,1,2,-66.75
1004677,1004677,primary,(897)484-8018x4514,0.0,0.0,0.0,1,1,55.0
1005158,1005158,primary,704.482.8148x932,0.0,0.0,0.0,1,1,79.17
1005409,1005409,primary,+1-680-595-7015,0.0,0.0,0.0,1,1,55.0
1006056,1006056,primary,4399117182,0.0,0.0,0.0,1,1,79.17
1006436,1006436,primary,+1-624-889-6383,-0.25,20.0,0.23728813559322035,4,2,37.498000000000005
1006697,1006697,primary,+1-557-287-1331x50983,0.0,0.0,0.0,2,1,63.75
1006832,1006832,primary,603-910-5183,0.0,0.0,0.0,3,3,46.80666666666667
1007166,1007166,primary,582.399.7376,0.0,0.0,0.0,3,3,71.1
1007931,1007931,primary,865-766-7010,0.0,0.0,0.0,2,1,68.75
1007933,1007933,primary,633-938-7262,0.0,0.0,0.0,1,1,79.17
1007953,1007953,primary,517.481.0801,-1.0,50.0,1.0,1,1,0.0
1008012,1008012,primary,(977)436-0260x64746,0.0,0.0,0.0,3,4,90.166
1008778,1008778,primary,243.909.8050,0.0,0.0,0.0,1,1,59.33
1009433,1009433,primary,582.208.1219x13619,-0.4,28.57142857142857,0.43309002433090027,6,3,27.737857142857145
1009504,1009504,primary,+1-816-499-8543x534,0.0,0.0,0.0,1,1,79.17
1010184,1010184,primary,+1-647-451-0799x11838,-0.5,33.33333333333333,0.38509316770186336,2,2,27.5
1010357,1010357,primary,(613)354-2784x980,0.0,0.0,0.0,1,1,53.33
1010707,1010707,primary,(541)718-2449,0.0,0.0,0.0,1,1,99.17
1011114,1011114,primary,248.274.0164,0.0,0.0,0.0,1,1,74.17
1011417,1011417,primary,724-427-8680x11280,0.0,0.0,0.0,1,1,51.75
1011996,1011996,primary,(420)545-0533x15869,-0.125,11.11111111111111,0.10876871371830125,5,3,54.02
1012203,1012203,primary,(426)302-5634,0.0,0.0,0.0,1,1,74.17
1012412,1012412,primary,(707)633-7543x3036,0.0,0.0,0.0,1,2,80.83500000000001
1012504,1012504,primary,645-486-8501,-0.75,42.857142857142854,0.7107623318385651,3,3,15.357142857142858
1012896,1012896,primary,001-340-819-6556,0.0,0.0,0.0,1,1,49.5
1013321,1013321,primary,001-734-806-0883,0.0,0.0,0.0,1,1,74.17
1013428,1013428,primary,759-851-4846,0.0,100.0,0.0,1,2,-66.75
1013496,1013496,primary,001-248-623-6629x946,-0.3333333333333333,25.0,0.39179954441913445,1,3,33.375
1013588,1013588,primary,336-699-5777x3872,0.0,0.0,0.0,1,1,59.33
1013613,1013613,primary,395.913.4332x00379,0.0,0.0,0.0,5,4,55.331999999999994
1013805,1013805,primary,(993)267-6320x16328,0.0,0.0,0.0,1,1,71.25
1013958,1013958,primary,+1-731-972-7889,0.0,0.0,0.0,1,1,99.17
1014195,1014195,primary,+1-986-587-2774x348,0.0,0.0,0.0,1,1,53.33
1016212,1016212,primary,571-843-4558x122,-0.14285714285714285,12.5,0.14595660749506903,5,7,45.10375
1016951,1016951,primary,001-823-816-6587x603,0.0,0.0,0.0,1,1,74.16
1017090,1017090,primary,001-590-996-7054x66889,0.0,0.0,0.0,2,2,51.75
