Buyer ID,Source Buyer ID,Record Type,Phone Number,isolation_forest_risk,autoencoder_risk,combined_risk
1000661,1000661,primary,+1-210-343-3218x1960,92.04312733405614,82.6587158173714,87.35092157571377
1001914,1001914,primary,538.990.8386,2.231658836284785,18.780869774725936,10.506264305505361
1002167,1002167,primary,001-740-326-5423,79.77050957715937,79.53860980604746,79.65455969160342
1002387,1002387,primary,361-855-9407,5.2990603541741965,26.40946873870618,15.854264546440188
1002419,1002419,primary,584-695-9310,76.4802433441754,89.85212624984942,83.16618479701242
1003002,1003002,primary,731-564-7525,88.77243705577641,81.27635224671727,85.02439465124684
1003161,1003161,primary,+1-241-592-8327x64835,50.65805324659679,0.9531984098301409,25.80562582821347
1003728,1003728,primary,9568413953,51.84465727020841,65.29936152270811,58.572009396458256
1003899,1003899,primary,+1-772-542-3884x9696,97.38585712564752,90.33851343211661,93.86218527888207
1003953,1003953,primary,(387)810-1226,98.16287194313938,98.555896879894,98.35938441151669
1004677,1004677,primary,(897)484-8018x4514,27.662329839778337,7.78068907360559,17.72150945669196
1005158,1005158,primary,704.482.8148x932,22.178050837248524,33.66913624864474,27.923593542946634
1005409,1005409,primary,+1-680-595-7015,27.662329839778337,7.78068907360559,17.72150945669196
1006056,1006056,primary,4399117182,22.178050837248524,33.66913624864474,27.923593542946634
1006436,1006436,primary,+1-624-889-6383,84.39645825804119,81.13781472111793,82.76713648957957
1006697,1006697,primary,+1-557-287-1331x50983,54.50096373930852,38.883869413323694,46.692416576316106
1006832,1006832,primary,603-910-5183,67.95566799180821,70.23852547885797,69.09709673533308
1007166,1007166,primary,582.399.7376,65.96494398265268,73.76219732562342,69.86357065413804
1007931,1007931,primary,865-766-7010,54.81568485724612,41.08691723888688,47.9513010480665
1007933,1007933,primary,633-938-7262,22.178050837248524,33.66913624864474,27.923593542946634
1007953,1007953,primary,517.481.0801,72.68702565955908,52.52379231417902,62.60540898686905
1008012,1008012,primary,(977)436-0260x64746,80.38639922900856,77.2738224310324,78.83011083002049
1008778,1008778,primary,243.909.8050,15.663775448741116,13.355318636308876,14.509547042524996
1009433,1009433,primary,582.208.1219x13619,93.82303336947355,86.36911215516203,90.09607276231779
1009504,1009504,primary,+1-816-499-8543x534,22.178050837248524,33.66913624864474,27.923593542946634
1010184,1010184,primary,+1-647-451-0799x11838,75.72732200939646,90.14124804240453,82.9342850259005
1010357,1010357,primary,(613)354-2784x980,29.372967112396097,5.699614504276593,17.536290808336346
1010707,1010707,primary,(541)718-2449,52.958980845681246,47.39489218166486,50.176936513673056
1011114,1011114,primary,248.274.0164,5.2990603541741965,26.40946873870618,15.854264546440188
1011417,1011417,primary,724-427-8680x11280,33.146608842308154,4.139561498614625,18.64308517046139
1011996,1011996,primary,(420)545-0533x15869,92.42259968678472,93.35019877123239,92.88639922900856
1012203,1012203,primary,(426)302-5634,5.2990603541741965,28.36706420913143,16.833062281652815
1012412,1012412,primary,(707)633-7543x3036,49.32387664136851,57.94030839657872,53.632092518973614
1012504,1012504,primary,645-486-8501,93.46464281411878,91.30526442597278,92.38495362004578
1012896,1012896,primary,001-340-819-6556,34.92049150704734,2.653294783760993,18.786893145404164
1013321,1013321,primary,001-734-806-0883,5.2990603541741965,26.40946873870618,15.854264546440188
1013428,1013428,primary,759-851-4846,98.16287194313938,98.555896879894,98.35938441151669
1013496,1013496,primary,001-248-623-6629x946,86.00469822912902,88.81460065052403,87.40964943982652
1013588,1013588,primary,336-699-5777x3872,15.663775448741116,13.355318636308876,14.509547042524996
1013613,1013613,primary,395.913.4332x00379,84.61781713046621,77.93036983495965,81.27409348271293
1013805,1013805,primary,(993)267-6320x16328,14.407902662329839,22.480725213829658,18.44431393807975
1013958,1013958,primary,+1-731-972-7889,52.958980845681246,47.39489218166486,50.176936513673056
1014195,1014195,primary,+1-986-587-2774x348,29.372967112396097,5.699614504276593,17.536290808336346
1016212,1016212,primary,571-843-4558x122,98.03336947355741,82.5051198650765,90.26924466931695
1016951,1016951,primary,001-823-816-6587x603,5.2990603541741965,24.110046982291287,14.704553668232741
1017090,1017090,primary,001-590-996-7054x66889,48.39627755692085,48.64172991205879,48.51900373448982
1017111,1017111,primary,946.470.6562,60.50777014817492,48.71551620286713,54.611643175521024
1017592,1017592,primary,+1-280-669-9016x272,29.372967112396097,5.699614504276593,17.536290808336346
1017832,1017832,primary,(253)775-5646x4170,19.21906999156728,9.65245151186604,14.43576075171666
1018425,1018425,primary,510.403.3092,72.68702565955908,52.52379231417902,62.60540898686905
1018486,1018486,primary,319.237.4529x9124,39.32508131550416,60.52132273220094,49.923202023852554
1019378,1019378,primary,296-763-1931x4919,70.38308637513553,74.25310203589929,72.31809420551741
1019777,1019777,primary,+1-365-818-5067,48.67636429345862,48.0514395855921,48.36390193952536
1020022,1020022,primary,(672)762-8498x776,29.372967112396097,5.699614504276593,17.536290808336346
10201900000000,10201900000000,primary,714.273.7996,81.68895313817612,75.81616672690036,78.75255993253825
1020657,1020657,primary,552.373.5454x9480,69.19798819419347,73.39176002891217,71.29487411155282
1020848,1020848,primary,367.683.7770,32.29580773400795,37.981869654258524,35.13883869413324
1021299,1021299,primary,763.849.5788,69.70395133116492,75.90952897241297,72.80674015178894
1021714,1021714,primary,001-485-557-4443x1351,55.03553788700156,43.04300686664257,49.03927237682207
1022206,1022206,primary,674.598.9413,10.849596434164559,19.871099867485846,15.360348150825203
1022382,1022382,primary,(924)308-2400x842,65.29333815202988,73.62365980002409,69.45849897602699
1022437,1022437,primary,6949777520,50.65805324659679,0.9531984098301409,25.80562582821347
1022489,1022489,primary,616-371-9022,39.475665582459946,61.296831707023244,50.3862486447416
1023318,1023318,primary,818.969.9938,0.796590772196121,17.436152270810744,9.116371521503433
1023382,1023382,primary,649.364.9909x133,93.98265269244669,95.77460546922057,94.87862908083363
1023486,1023486,primary,(932)681-2067,84.63136971449224,85.73665823394772,85.18401397421998
1024074,1024074,primary,5348471349,27.662329839778337,7.78068907360559,17.72150945669196
1024951,1024951,primary,683-624-2102,60.02439465124684,62.39308517046139,61.20873991085411
1025137,1025137,primary,217.846.4887x719,62.810203589928925,56.69798819419347,59.7540958920612
1025698,1025698,primary,001-459-940-1399x0490,80.2132273220094,74.00012046741357,77.10667389471149
1025724,1025724,primary,474.729.6717x56551,40.806830502349115,49.84941573304421,45.32812311769666
1025868,1025868,primary,(274)968-0715x45168,63.834176605228286,69.2040115648717,66.51909408505
1026185,1026185,primary,(903)985-9770x34824,5.2990603541741965,24.378086977472595,14.838573665823397
1026451,1026451,primary,809-332-4808,85.50475846283581,91.48897723165884,88.49686784724733
1026770,1026770,primary,817.912.7484,61.30887844837971,71.2353933261053,66.2721358872425
1028169,1028169,primary,737.682.6398x2146,62.810203589928925,56.69798819419347,59.7540958920612
10282100000000,10282100000000,primary,9447997278,98.56342609324177,99.27117214793398,98.91729912058787
1029036,1029036,primary,988-867-5339x63605,2.231658836284785,18.780869774725936,10.506264305505361
1029062,1029062,primary,(227)402-8951x7187,66.21190218046019,63.73328514636791,64.97259366341405
1029141,1029141,primary,(221)374-5961x58657,74.55878809781954,74.81628719431393,74.68753764606674
1029657,1029657,primary,643.216.1172,47.144922298518246,50.349355499337435,48.747138898927844
1029746,1029746,primary,8504455623,99.34345259607277,89.0946873870618,94.21906999156728
1030179,1030179,primary,(421)596-9379,98.9097699072401,97.15094566919649,98.0303577882183
1030400,1030400,primary,647.840.7482x175,27.662329839778337,7.78068907360559,17.72150945669196
1030675,1030675,primary,001-647-643-6713x695,74.47596675099386,74.88706179978315,74.68151427538851
1031472,1031472,primary,5647090974,29.372967112396097,5.699614504276593,17.536290808336346
1031483,1031483,primary,239.742.1047,0.796590772196121,16.86543789904831,8.831014335622216
1031879,1031879,primary,001-621-445-6232x8588,10.849596434164559,19.871099867485846,15.360348150825203
1032158,1032158,primary,374-851-7123x685,58.086375135525834,46.053186363088784,52.06978074930731
1032956,1032956,primary,7483175496,19.920792675581257,21.05017467774967,20.485483676665464
1033398,1033398,primary,+1-437-209-8593x17461,35.652331044452474,40.15630646910011,37.90431875677629
1033505,1033505,primary,9477113826,0.796590772196121,16.86543789904831,8.831014335622216
1034036,1034036,primary,+1-986-992-6179x64053,26.426033008071315,30.448138778460425,28.43708589326587
1034119,1034119,primary,551.358.5064,5.2990603541741965,24.542223828454404,14.9206420913143
1034648,1034648,primary,513.590.0532x931,10.849596434164559,19.375677629201302,15.11263703168293
1035291,1035291,primary,652.490.4228,37.489459101313095,58.6314901819058,48.060474641609446
1035322,1035322,primary,402-605-3950,5.2990603541741965,26.40946873870618,15.854264546440188
1035377,1035377,primary,3269811775,46.04113962173232,64.01638356824479,55.02876159498855
1036322,1036322,primary,939.308.4700x76617,43.37128056860619,48.03035778821829,45.70081917841224
1036663,1036663,primary,759-821-2499,87.24400674617516,80.04758462835802,83.6457956872666
1036994,1036994,primary,+1-984-578-9611x836,33.146608842308154,4.139561498614625,18.64308517046139
1037245,1037245,primary,(357)366-1565x45271,44.679857848451995,44.68889290446934,44.684375376460665
1037442,1037442,primary,761-352-8098,43.9465124683773,62.936694374171786,53.44160342127454
1037468,1037468,primary,(556)304-9451x98327,49.56932899650644,64.48620648114685,57.02776773882665
1037756,1037756,primary,(285)614-9368x998,2.231658836284785,18.780869774725936,10.506264305505361
1038293,1038293,primary,8243455022,66.62751475725817,63.685098180942056,65.15630646910012
1038321,1038321,primary,(401)783-6675,72.68702565955908,52.52379231417902,62.60540898686905
1038692,1038692,primary,859-991-0229x0147,75.8688712203349,75.78906155884833,75.82896638959161
1040317,1040317,primary,+1-976-643-8156x149,22.178050837248524,33.66913624864474,27.923593542946634
1041034,1041034,primary,4366900343,64.36724491025177,68.39085652331043,66.37905071678111
1041327,1041327,primary,751-307-6226x8388,99.49403686302854,92.27201541982893,95.88302614142873
1041502,1041502,primary,(306)807-1596x9664,67.4195880014456,70.76255872786412,69.09107336465486
1041517,1041517,primary,5528975161,29.372967112396097,5.699614504276593,17.536290808336346
1041519,1041519,primary,001-468-316-4535,49.56932899650644,64.5630044572943,57.06616672690037
1042292,1042292,primary,418.383.5523x12432,18.22220214431996,15.019274786170342,16.620738465245154
1042516,1042516,primary,(777)499-7995,80.31863630887844,82.7731598602578,81.54589808456812
1042690,1042690,primary,917.974.4905x814,46.04113962173232,63.86278761594989,54.951963618841106
1043515,1043515,primary,8059411998,83.45380074689797,90.04939163956149,86.75159619322973
1043630,1043630,primary,001-480-279-3597,86.98650764968076,99.22900855318636,93.10775810143356
1043825,1043825,primary,415.718.2037x788,5.2990603541741965,26.40946873870618,15.854264546440188
1044344,1044344,primary,(846)665-9051x518,22.178050837248524,33.66913624864474,27.923593542946634
1044521,1044521,primary,392-651-9254x629,69.1392603300807,75.59932538248404,72.36929285628237
1044616,1044616,primary,+1-265-728-1685,36.29080833634502,2.1759426575111434,19.233375496928083
1044860,1044860,primary,223-757-3322x1418,93.71160101192628,94.40730032526201,94.05945066859414
1045367,1045367,primary,001-592-996-2229x27065,87.80869774725937,82.544271774485,85.17648476087219
1046056,1046056,primary,+1-947-638-3473x597,18.22220214431996,15.019274786170342,16.620738465245154
1046214,1046214,primary,001-368-386-2392x40758,87.24400674617516,79.87441272135887,83.559209733767
1046356,1046356,primary,812-247-8261x3750,24.989459101313095,30.869774725936633,27.929616913624862
1046478,1046478,primary,(485)236-1530x5152,33.79412119021804,3.5432478014697026,18.668684495843873
1046687,1046687,primary,872-377-9010x4328,72.68702565955908,52.52379231417902,62.60540898686905
1046842,1046842,primary,001-243-541-0369x71179,61.20497530418022,71.1134200698711,66.15919768702565
1046899,1046899,primary,001-724-360-9539x621,48.531803397181065,49.560293940489096,49.046048668835084
1046960,1046960,primary,388.788.0670x65405,41.02367184676545,50.46530538489339,45.744488615829425
1047637,1047637,primary,419.952.0585,43.9465124683773,63.00746897964101,53.476990724009156
1048044,1048044,primary,001-772-621-7043x030,85.45054812673172,93.2417780990242,89.34616311287796
1048066,1048066,primary,868.874.0345x05415,87.24400674617516,80.04758462835802,83.6457956872666
1048117,1048117,primary,001-876-452-7758x4161,29.372967112396097,5.699614504276593,17.536290808336346
1048855,1048855,primary,+1-845-411-5447,55.44964462112999,41.45283700758945,48.45124081435972
1049211,1049211,primary,001-775-470-5964x016,89.71810625225876,94.79580773400795,92.25695699313336
1049611,1049611,primary,7298702135,81.4359715696904,86.39922900855319,83.9176002891218
10499800000000,10499800000000,primary,001-409-727-5571,5.2990603541741965,26.40946873870618,15.854264546440188
1050424,1050424,primary,(654)931-0278x6814,50.65805324659679,0.9531984098301409,25.80562582821347
1051025,1051025,primary,494.973.1217,18.22220214431996,15.019274786170342,16.620738465245154
1051120,1051120,primary,455-718-8442,27.662329839778337,7.78068907360559,17.72150945669196
1051484,1051484,primary,431.332.3705x89578,19.21906999156728,9.65245151186604,14.43576075171666
1051514,1051514,primary,446-778-6691,58.42669557884592,23.161366100469824,40.79403083965787
1052196,1052196,primary,+1-217-378-5289x2268,55.532465967955666,60.304481387784605,57.91847367787014
1053893,1053893,primary,624.422.5358x41438,24.989459101313095,31.51879291651608,28.25412600891459
1053945,1053945,primary,+1-749-281-8299x2299,48.62516564269365,48.90525237923142,48.765209010962536
1054312,1054312,primary,2109943969,18.22220214431996,15.019274786170342,16.620738465245154
1054723,1054723,primary,+1-884-947-3647x1027,8.773039392844236,11.454945187326828,10.113992290085532
1055949,1055949,primary,335.792.5556x258,52.958980845681246,47.39489218166486,50.176936513673056
1056000,1056000,primary,671.847.3210,17.53854957234068,15.309902421395014,16.424225996867847
1056261,1056261,primary,+1-963-625-9532x787,14.407902662329839,22.480725213829658,18.44431393807975
1056305,1056305,primary,901.968.7339x5004,25.84477773762197,36.18238766413685,31.01358270087941
1057385,1057385,primary,580-716-2456x5060,80.93151427538851,85.83453800746898,83.38302614142874
1057413,1057413,primary,+1-341-468-7849,32.29580773400795,37.981869654258524,35.13883869413324
1057980,1057980,primary,865-258-5239,22.178050837248524,33.66913624864474,27.923593542946634
1058200,1058200,primary,4027578729,83.30321647994218,83.22792434646428,83.26557041320322
1058238,1058238,primary,+1-652-969-4958x887,59.0711962414167,0.4276593181544392,29.74942777978557
1058401,1058401,primary,9556169409,42.83971810625226,45.474942777978555,44.15733044211541
1058966,1058966,primary,+1-299-330-9728x9623,5.2990603541741965,26.40946873870618,15.854264546440188
1060909,1060909,primary,907.256.2636,38.71370919166365,58.05023491145646,48.381972051560055
1061152,1061152,primary,001-728-738-5786x527,14.407902662329839,22.480725213829658,18.44431393807975
1062722,1062722,primary,+1-749-973-3484x34437,50.65805324659679,0.9531984098301409,25.80562582821347
1062790,1062790,primary,(284)641-9866x524,29.372967112396097,5.699614504276593,17.536290808336346
1063939,1063939,primary,001-415-374-7338x484,85.13432116612456,91.51005902903265,88.32219009757861
1064779,1064779,primary,+1-993-330-8330x165,5.2990603541741965,26.40946873870618,15.854264546440188
1065100,1065100,primary,+1-520-282-6773x45401,70.27165401758825,76.07517166606434,73.17341284182629
1065122,1065122,primary,(262)606-7240,22.178050837248524,33.66913624864474,27.923593542946634
1065179,1065179,primary,001-491-954-7887,22.178050837248524,33.66913624864474,27.923593542946634
1065617,1065617,primary,531-452-7420x549,14.407902662329839,22.480725213829658,18.44431393807975
1065718,1065718,primary,+1-566-285-1612x275,35.239730152993616,2.364172991205879,18.801951572099746
1067115,1067115,primary,563-274-5499x045,24.989459101313095,31.024876520901095,28.007167811107095
1067119,1067119,primary,+1-417-942-6841x45933,72.68702565955908,52.52379231417902,62.60540898686905
1067191,1067191,primary,(579)356-8783,35.80592699674738,40.401758824238044,38.103842910492716
1067545,1067545,primary,478.751.9108x83982,5.2990603541741965,26.40946873870618,15.854264546440188
1067590,1067590,primary,971.239.7187x07286,52.958980845681246,47.39489218166486,50.176936513673056
1067735,1067735,primary,+1-374-206-4039,19.21906999156728,9.65245151186604,14.43576075171666
1067845,1067845,primary,(851)980-1704x62265,72.68702565955908,52.52379231417902,62.60540898686905
1068391,1068391,primary,(261)282-5128x6823,84.96566678713407,98.97903867003976,91.97235272858691
1068546,1068546,primary,378-268-6337x5243,52.191001084206725,39.689495241537166,45.940248162871946
1069520,1069520,primary,+1-269-803-3119x07903,77.445488495362,79.02361161305866,78.23455005421033
1069797,1069797,primary,738.530.2843x959,44.044392241898564,55.51891338392964,49.7816528129141
1070112,1070112,primary,928-236-4408x9268,58.086375135525834,45.91013130948078,51.99825322250331
1070215,1070215,primary,(568)556-6246x287,34.92049150704734,2.653294783760993,18.786893145404164
1070461,1070461,primary,527-708-6688x2634,85.22467172629804,89.87170220455367,87.54818696542586
1070752,1070752,primary,+1-317-551-8304x6990,36.53927237682207,41.595892061197446,39.06758221900976
1071044,1071044,primary,001-598-837-3540x33173,22.178050837248524,33.66913624864474,27.923593542946634
1071064,1071064,primary,685.746.7854,86.39320563787496,83.53812793639321,84.96566678713408
1071151,1071151,primary,277.617.5355x60932,11.948861582941813,15.579448259245874,13.764154921093844
1071407,1071407,primary,+1-899-564-2353,65.90471027587039,66.64859655463196,66.27665341525118
1072324,1072324,primary,485.247.7725x2287,43.58360438501385,48.35561980484279,45.96961209492832
1072388,1072388,primary,701.200.6231x20387,64.61570895072882,72.59667509938562,68.60619202505723
10728500000000,10728500000000,primary,+1-697-670-0886x008,63.66100469822913,43.63781472111794,53.649409709673535
1072932,1072932,primary,5866211823,96.70822792434647,86.73653776653416,91.72238284544031
1072982,1072982,primary,(246)315-6793x341,24.989459101313095,31.024876520901095,28.007167811107095
1073187,1073187,primary,(366)287-0021x7659,51.46066738947115,58.97632815323455,55.218497771352844
1074131,1074131,primary,239.474.0148,5.2990603541741965,26.40946873870618,15.854264546440188
1074403,1074403,primary,703-892-6142x93968,29.372967112396097,5.699614504276593,17.536290808336346
1074832,1074832,primary,001-821-785-0163x15999,5.2990603541741965,26.40946873870618,15.854264546440188
1075305,1075305,primary,4478735866,47.00638477291893,57.160281893747744,52.083333333333336
1075473,1075473,primary,494-831-1426,60.399349475966744,70.44934345259607,65.4243464642814
1075810,1075810,primary,951-810-4754x12126,5.2990603541741965,26.40946873870618,15.854264546440188
1075996,1075996,primary,801-258-1995,50.02258764004337,46.309179616913624,48.1658836284785
1076646,1076646,primary,666-618-3982x6224,52.958980845681246,47.39489218166486,50.176936513673056
1076999,1076999,primary,921.526.4647x1543,0.796590772196121,16.86543789904831,8.831014335622216
1077078,1077078,primary,812.440.6596x575,31.333574268160465,36.75460787856885,34.044091073364655
1077133,1077133,primary,759-837-5265x4793,22.178050837248524,33.66913624864474,27.923593542946634
10774700000000,10774700000000,primary,565-919-3982x807,50.16564269365137,58.73388748343573,54.44976508854355
1077784,1077784,primary,916-872-4342x6617,22.178050837248524,33.66913624864474,27.923593542946634
1077975,1077975,primary,+1-386-580-5891,2.8761594988555594,28.627574990964945,15.751867244910253
